*******************************************************************************
 Revised: Sep 28, 2012             Phobos / (Mars)                          401

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 13.1 x11.1 x9.3 Density (g cm^-3)   =  1.90 +- 0.08
  Mass (10^20 kg )        =  1.08 (10^-4)   Geometric Albedo    =  0.06 
                                 (+- 0.1)   V(1,0)              = +11.8

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 9.3772(10^3)    Orbital period      = 0.319 d
  Eccentricity, e         = 0.0151          Rotational period   = Synchronous
  Inclination, i  (deg)   = 1.082
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun May  3 06:38:58 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Phobos (401)                    {source: mar097}
Center body name: Sun (10)                        {source: mar097}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Apr-25 00:00:00.0000 TDB
Stop  time      : A.D. 2021-May-25 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 1.3271244004194000E+11 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458964.500000000, A.D. 2020-Apr-25 00:00:00.0000,  2.227135153451663E-01,  2.053960712244798E+08,  2.764382978760264E+00,  6.622763728779233E+01,  2.520279698800219E+02,  2.459031576698583E+06,  4.859168123801560E-06,  3.318390470356562E+02,  3.161480256088067E+02,  2.642475783117330E+08,  3.230990853989862E+08,  7.408675535152192E+07,
2458964.541666667, A.D. 2020-Apr-25 01:00:00.0000,  1.743880210445954E-01,  1.910705375038337E+08,  1.602058550857409E+00,  3.982230262726304E+01,  3.123208082844217E+02,  2.459079383833909E+06,  5.928595770844643E-06,  3.011743192008475E+02,  2.822681137616982E+02,  2.314289791986585E+08,  2.717874208934834E+08,  6.072264224361362E+07,
2458964.583333333, A.D. 2020-Apr-25 02:00:00.0000,  1.504362296512931E-01,  1.736857758353360E+08,  1.411762574119098E+00,  3.420696451387997E+02,  5.290018534670415E+01,  2.459134543091334E+06,  7.140457614558405E-06,  2.551457852766720E+02,  2.394480217119247E+02,  2.044411283735016E+08,  2.351964809116672E+08,  5.041693676130922E+07,
2458964.625000000, A.D. 2020-Apr-25 03:00:00.0000,  1.259619016397321E-01,  1.711541512186304E+08,  1.530988308161378E+00,  3.329410651433755E+02,  9.164954008993898E+01,  2.459180905653837E+06,  7.617155806536527E-06,  2.176608869381462E+02,  2.098466399739545E+02,  1.958200123538354E+08,  2.204858734890403E+08,  4.726173510735758E+07,
2458964.666666667, A.D. 2020-Apr-25 04:00:00.0000,  4.595079760122936E-02,  1.975003410278525E+08,  1.356744059789315E+00,  2.030412130361120E+01,  6.356450451454113E+01,  2.459242782938898E+06,  7.007818316767112E-06,  1.916074102980070E+02,  1.906045481667432E+02,  2.070127416188561E+08,  2.165251422098598E+08,  5.137119481802966E+07,
2458964.708333333, A.D. 2020-Apr-25 05:00:00.0000,  7.755774075111947E-02,  2.163391129923850E+08,  2.370835311087043E+00,  6.108830741160433E+01,  2.115683391101541E+02,  2.458961548993837E+06,  5.811452180672970E-06,  1.586334275265416E+00,  1.858639801488761E+00,  2.345286231449803E+08,  2.527181332975757E+08,  6.194665099323105E+07,
2458964.750000000, A.D. 2020-Apr-25 06:00:00.0000,  1.890684762182768E-01,  2.155337968101525E+08,  3.278954052113247E+00,  7.105178135358108E+01,  2.159760684974235E+02,  2.458984874829394E+06,  4.817055557530929E-06,  3.516241748017965E+02,  3.475243353919528E+02,  2.657854461065042E+08,  3.160370954028559E+08,  7.473445047507915E+07,
2458964.791666667, A.D. 2020-Apr-25 07:00:00.0000,  2.351659717333316E-01,  2.111575140976809E+08,  3.280116407078095E+00,  7.105982934654686E+01,  2.325697548571724E+02,  2.459009999670241E+06,  4.550084285451487E-06,  3.422275004181292E+02,  3.309485259895666E+02,  2.760827922055507E+08,  3.410080703134204E+08,  7.911941349110167E+07,
